holdout_type,holdout_group,landmark_cycle,horizon_cycle,recalibration_fraction,n_splits,seed,target_cells_total,target_events_total,labelled_cells,events_in_subset,events_in_subset_min,events_in_subset_max,one_class_share,sd_eta,mean_eta,n_eff_mean,n_eff_median,n_eff_p05,n_eff_p95,se_slope_at_mean_neff,log_loss_before,log_loss_after,log_loss_gain,se
source,HUST,300,500,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.0966224194527702,-1.4672994534088195,0.048312933119684,0.0374134992461199,0.0264766041516668,0.0912900991999807,4.549548484471714,0.2316475038664079,0.2316475038664079,0.0,4.549548484471718
source,HUST,300,800,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.1200617625733273,-0.571866101720006,0.1671314605434612,0.1081521871002137,0.0697193528754834,0.3505379412777571,2.4460813465352733,0.5677518314305965,0.5677518314305965,0.0,2.4460813465352738
source,HUST,300,1000,0.3,100,20260702,77,1,24.0,0.34,0,1,0.66,0.1585780223859679,-0.1785369266061092,0.3503537204635145,0.333131159679766,0.1381943184717171,0.6065528820864223,1.689455018169082,0.829110289331341,0.5495427032651297,0.2795675860662112,1.6894550181690822
source,MATR,150,500,0.3,100,20260702,137,26,42.0,8.14,3,13,0.0,0.3205133769263305,-1.0008223865231671,1.538807296862747,1.533666414219026,1.125971088495682,1.9751320055052677,0.8061351933138892,0.4628336287062012,0.4325804391718452,0.0302531895343559,0.8061351933138892
source,MATR,150,800,0.3,100,20260702,111,43,34.0,13.1,6,20,0.0,0.2005607255432161,-0.5484672638167948,0.5240640685047092,0.5272777413215137,0.2875220215916697,0.8232529079186495,1.3813629642307288,0.6901350370831838,0.710778411642093,-0.020643374558909,1.3813629642307288
source,MATR,150,1000,0.3,100,20260702,79,43,24.0,13.03,8,16,0.0,0.2755631957767051,-0.4297659960368989,0.6797750121455121,0.6862692351377636,0.4739651201548039,0.9364940976244678,1.212878791043804,0.81625645589016,0.4817476434853719,0.3345088124047881,1.2128787910438041
source,MATR,200,500,0.3,100,20260702,136,25,41.0,7.31,3,12,0.0,0.3441154328267258,-1.130952427735423,1.618113332859231,1.633695555633906,1.0746223667408432,2.0589251997753832,0.7861321030736664,0.4353093383488582,0.4405232727998836,-0.0052139344510253,0.7861321030736664
source,MATR,200,800,0.3,100,20260702,110,42,33.0,12.67,7,19,0.0,0.1804828249563664,-0.6201266922577792,0.4585097685578591,0.4540708749350399,0.2699326885050997,0.6225838770057494,1.4768136697006276,0.6790911872015214,0.7091968117957914,-0.0301056245942701,1.4768136697006276
source,MATR,200,1000,0.3,100,20260702,78,42,24.0,12.9,6,17,0.0,0.2526822156549628,-0.4809548424285899,0.6492442805262086,0.630559981657643,0.4382153710401711,0.912708757083035,1.2410690172724972,0.819184492054595,0.4815519552485234,0.3376325368060717,1.2410690172724972
source,MATR,300,500,0.3,100,20260702,136,25,41.0,7.28,3,12,0.0,0.4103316378716491,-1.4654482448194184,1.8192241760652947,1.811064454989408,1.3343472289377831,2.359078949326822,0.7414073559149303,0.4093310553113993,0.4089837865101215,0.0003472688012777,0.7414073559149303
source,MATR,300,800,0.3,100,20260702,110,42,33.0,12.53,8,18,0.0,0.2291160013756805,-0.8081904445439092,0.556712838047621,0.5420842677800135,0.3893639273582339,0.7681365249515787,1.3402455742521566,0.6994558608476446,0.6920377672231681,0.0074180936244763,1.3402455742521566
source,MATR,300,1000,0.3,100,20260702,78,42,24.0,13.39,9,20,0.0,0.3400455088045372,-0.670116675554887,0.8979908448573991,0.9095084873081016,0.585579542069734,1.1988495294572066,1.0552711022601275,0.8796703262352734,0.4257207328527427,0.4539495933825307,1.0552711022601275
source,SDU,150,500,0.3,100,20260702,62,29,19.0,8.85,5,14,0.0,0.411465547059929,-0.4804126881917324,0.8555517282093976,0.8544728069058743,0.4768582926481524,1.2391196031570515,1.0811273734606408,0.7939591172540499,0.7160032181263096,0.0779558991277401,1.0811273734606408
source,SDU,150,800,0.3,100,20260702,62,38,19.0,11.35,6,17,0.0,0.6307557855449875,-0.0736391922511015,2.446295675437287,2.4128121434479555,1.75243839897208,3.2606229227723365,0.639360094227458,1.019949755247702,0.4836798811379893,0.5362698741097125,0.639360094227458
source,SDU,150,1000,0.3,100,20260702,62,55,19.0,17.01,14,19,0.08,0.6962511071750447,0.010912013605343,3.14616853472482,3.173506696720427,2.247385205316502,3.969456643891622,0.5637791471965081,0.6958311679451269,0.3821335690753111,0.3136975988698157,0.5637791471965081
source,SDU,200,500,0.3,100,20260702,58,25,18.0,7.73,2,11,0.0,0.3239823749498301,-0.5310913196289614,0.5826519235167907,0.5611307601188795,0.3185771167896075,0.8855884416496104,1.3100727333615734,0.7299271724190478,0.7715754027464641,-0.041648230327416,1.3100727333615734
source,SDU,200,800,0.3,100,20260702,58,34,18.0,10.02,5,14,0.0,0.5261402578983079,-0.0744687666649964,1.9570847647757312,1.9325148662533669,1.319292534528269,2.683979666557567,0.7148175093429722,0.9863587758198684,0.5698759064460197,0.4164828693738489,0.7148175093429722
source,SDU,200,1000,0.3,100,20260702,58,51,18.0,15.76,13,18,0.07,0.6301828525887186,0.0380271734905566,2.7897672271214047,2.849884305154181,1.9458055318247764,3.46353525755293,0.5987093161103758,0.6638102299439627,0.3844869768518179,0.2793232530921445,0.5987093161103758
source,SDU,300,500,0.3,100,20260702,56,23,17.0,7.18,3,11,0.0,0.3168013501228649,-0.8537893599729443,0.5136630451924938,0.5169217808257061,0.3124595908781558,0.7099652475178402,1.3952782968107678,0.7312432776958856,0.7631281392378217,-0.0318848615419361,1.3952782968107678
source,SDU,300,800,0.3,100,20260702,56,32,17.0,9.7,5,13,0.0,0.6159963192547603,-0.297272129926696,2.2773058538898057,2.234323933020707,1.664655481052643,3.040031525251441,0.6626578067474762,1.053254210445118,0.4953219026665889,0.5579323077785292,0.6626578067474762
source,SDU,300,1000,0.3,100,20260702,56,49,17.0,15.08,13,17,0.05,0.724652065383221,-0.1293357851812069,3.1255772365431005,3.1685822557053545,2.4151509366460457,3.777679411572485,0.5656331866981764,0.7785114274162241,0.3926891780100212,0.3858222494062029,0.5656331866981764
source,Tongji,150,500,0.3,100,20260702,74,38,23.0,12.05,7,20,0.0,0.8915289171020205,0.3488077582730522,2.364935075425088,2.4027057072704165,1.4571332262953682,3.148039033409471,0.6502650144429879,2.660596485389316,0.5703257894780925,2.090270695911224,0.6502650144429879
source,Tongji,150,800,0.3,100,20260702,71,67,22.0,20.8,18,22,0.24,0.9093884383565856,0.4866695480195087,3.245943140393024,3.205467975233258,1.98469497226877,4.4359105014860125,0.5550467269605144,0.4813760598882347,0.3454260882066107,0.1359499716816239,0.5550467269605144
source,Tongji,150,1000,0.3,100,20260702,71,68,22.0,21.1,19,22,0.31,0.9507859522199158,0.4850466088222309,3.6160366002074498,3.6132314041070903,2.468647458920545,4.893931720009052,0.5258762910050979,0.4872915630052873,0.4275706934847584,0.0597208695205288,0.5258762910050979
source,Tongji,200,500,0.3,100,20260702,64,28,20.0,8.8,5,13,0.0,0.8751268901586997,0.4422778934369381,1.1524505200754818,1.1989348784564298,0.3706754953513601,1.812002604732375,0.9315128620560548,2.812327108214532,0.6620986404800786,2.150228467734454,0.9315128620560548
source,Tongji,200,800,0.3,100,20260702,61,57,19.0,17.65,15,19,0.23,0.8408759274203548,0.5681170482404511,1.9878566113553924,1.9985890000120128,1.1873573524131944,2.6810239804399374,0.7092632744607213,0.4159018460380189,0.3873521383300655,0.0285497077079533,0.7092632744607213
source,Tongji,200,1000,0.3,100,20260702,61,58,19.0,18.02,16,19,0.35,0.9009736361834402,0.6380276453766537,2.1061023741468,2.0692585121025724,1.2044663016400878,3.0652575239965545,0.6890651110617051,0.4377358123390618,0.4660277703293558,-0.0282919579902939,0.6890651110617051
source,Tongji,300,500,0.3,100,20260702,59,23,18.0,6.95,3,12,0.0,0.3504893507732764,-0.0728757030555691,0.9392127884342109,0.9274852458052882,0.5663244246925477,1.3452684192501094,1.03185340427452,0.9147905554578208,0.6307575499978302,0.2840330054599905,1.03185340427452
source,Tongji,300,800,0.3,100,20260702,56,52,17.0,15.77,14,17,0.17,0.5254490545849849,0.2205010985636817,2.0567710720397017,2.129768210122485,1.1696056139241346,2.7873583552550687,0.6972797009116196,0.5219190128201813,0.2689022341487067,0.2530167786714745,0.6972797009116196
source,Tongji,300,1000,0.3,100,20260702,56,53,17.0,16.1,15,17,0.37,0.5720679513169946,0.2434336791203383,2.3616279864655896,2.2985081821233573,1.713496217301523,3.143341964552516,0.6507201521562869,0.5439606963605842,0.2604084307292911,0.283552265631293,0.6507201521562869
