model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
wiener,matr,cycle,published,truncH,1.0,200,500,0.00021434475300533375,2.7524284477211067e-08,2.930421485479225e-06,-5281.229235100247,True,97,,,,,
gamma,matr,cycle,published,truncH,1.0,200,500,,,,-7281.510134429656,False,97,0.0851029002877845,1.251019820212915,0.0010532002949234962,25.0,7.164586702286223e-05
wiener,matr,cycle,published,truncH,1.0,200,800,0.00026756673750442933,2.836350380959401e-08,3.110622012836961e-06,-7530.794146243019,True,94,,,,,
gamma,matr,cycle,published,truncH,1.0,200,800,,,,-9618.517134432923,True,94,0.05392765444538719,1.1995524017491632,0.0026847908526869747,25.0,0.00012069874825869864
wiener,matr,cycle,published,truncH,1.0,200,1000,0.00030065064188019035,2.6354202397435857e-08,3.4520597915246496e-06,-6918.4919802677505,True,80,,,,,
gamma,matr,cycle,published,truncH,1.0,200,1000,,,,-8544.1426492397,True,80,0.046173658206767894,1.2852058205723136,0.004454135466777005,25.0,0.00016002396297740083
wiener,matr,cycle,published,truncH,1.0,300,500,0.00021434475300533375,2.7524284477211067e-08,2.930421485479225e-06,-5281.229235100247,True,97,,,,,
gamma,matr,cycle,published,truncH,1.0,300,500,,,,-7281.510134429656,False,97,0.0851029002877845,1.251019820212915,0.0010532002949234962,25.0,7.164586702286223e-05
wiener,matr,cycle,published,truncH,1.0,300,800,0.00026756673750442933,2.836350380959401e-08,3.110622012836961e-06,-7530.794146243019,True,94,,,,,
gamma,matr,cycle,published,truncH,1.0,300,800,,,,-9618.517134432923,True,94,0.05392765444538719,1.1995524017491632,0.0026847908526869747,25.0,0.00012069874825869864
