model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,200,800,373,11,362,156,0.430939226519337,0.2592703090414661,0.2628501233949499,0.7502588448146379,0.5916417724670152
wiener,sixsource,cycle,fair,truncH,1.0,200,1000,338,11,327,176,0.5382262996941896,0.7108043866381014,0.2224279349802138,0.6171627912873312,0.8844069837447321
gamma,sixsource,cycle,fair,truncH,1.0,200,1000,338,11,327,176,0.5382262996941896,0.3926358911256488,0.16196954816272335,1.855127564498166,0.8847832630945214
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,200,1000,338,11,327,176,0.5382262996941896,0.539814059389239,0.07896159062298927,0.3485072842688353,0.9565397350993378
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,200,1000,338,11,327,176,0.5382262996941896,0.3075827110320376,0.3057004408707182,0.8567246232731446,0.5034241420830825
wiener,sixsource,cycle,fair,truncH,1.0,300,500,403,5,398,87,0.2185929648241206,0.37096587246405943,0.1433440701301015,0.4526011428831745,0.8557859333998595
gamma,sixsource,cycle,fair,truncH,1.0,300,500,403,5,398,87,0.2185929648241206,0.18058439429445916,0.14158554488113065,1.6690223457993623,0.8039509184314595
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,300,500,403,5,398,87,0.2185929648241206,0.2113299394735575,0.1022493510499075,0.3479071625381309,0.8893816757216247
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,300,500,403,5,398,87,0.2185929648241206,0.1312553566370359,0.16652616141906545,0.5086115639143196,0.7310123073511475
wiener,sixsource,cycle,fair,truncH,1.0,300,800,362,4,358,145,0.40502793296089384,0.5921149287817299,0.18605291436172933,0.5459849990169686,0.9195726080621661
gamma,sixsource,cycle,fair,truncH,1.0,300,800,362,4,358,145,0.40502793296089384,0.29452240914261363,0.15466381499425447,1.8574467171556217,0.911073336571151
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,300,800,362,4,358,145,0.40502793296089384,0.4036081257609352,0.0725371017609195,0.34054166623488097,0.9573255625708272
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,300,800,362,4,358,145,0.40502793296089384,0.22355514793915257,0.2692871092808896,0.7798051493480028,0.5254006799417194
wiener,sixsource,cycle,fair,truncH,1.0,300,1000,327,4,323,165,0.5108359133126935,0.6998971859154466,0.20681424008806112,0.5780262329200814,0.9442270809359418
gamma,sixsource,cycle,fair,truncH,1.0,300,1000,327,4,323,165,0.5108359133126935,0.3679474002430775,0.15196779550221856,1.470456640744928,0.9406214039125431
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,300,1000,327,4,323,165,0.5108359133126935,0.5099832772065137,0.04459863533822208,0.30580588069102754,0.9774453394706559
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,300,1000,327,4,323,165,0.5108359133126935,0.27436409229753395,0.31704213691422606,0.9023058716398584,0.4431530494821634
wiener,sixsource,normalised,fair,truncH,1.0,150,500,433,27,406,109,0.2684729064039409,0.9999970202650348,0.7315211390097608,14.897185793792865,0.4760139622524944
gamma,sixsource,normalised,fair,truncH,1.0,150,500,433,27,406,109,0.2684729064039409,0.9999999989999999,0.7315270921330048,15.159630448477383,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,150,500,433,27,406,109,0.2684729064039409,0.2685026045364701,0.13384880742605562,0.4015976029147572,0.8377660396009021
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,150,500,433,27,406,109,0.2684729064039409,0.1833043433223289,0.19355753455613817,0.5866256098267142,0.6522410650851018
wiener,sixsource,normalised,fair,truncH,1.0,150,800,392,26,366,164,0.44808743169398907,0.9999973801701479,0.5519073327948163,11.23584935909841,0.49111023907268775
gamma,sixsource,normalised,fair,truncH,1.0,150,800,392,26,366,164,0.44808743169398907,0.999999999,0.5519125672021858,11.437430887814548,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,150,800,392,26,366,164,0.44808743169398907,0.4428164411886902,0.12131520353663167,0.4088814490847309,0.9056236416324559
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,150,800,392,26,366,164,0.44808743169398907,0.26086675314305313,0.27783206335868293,0.8016197743973642,0.5459731948804637
wiener,sixsource,normalised,fair,truncH,1.0,150,1000,357,26,331,181,0.5468277945619335,0.9999999959392124,0.45317219913116813,9.27732316344452,0.48998158379373835
gamma,sixsource,normalised,fair,truncH,1.0,150,1000,357,26,331,181,0.5468277945619335,0.9999999989999999,0.45317220453172213,9.391208096571756,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,150,1000,357,26,331,181,0.5468277945619335,0.5404297136622008,0.09201536583228974,0.3875221390299683,0.9393922651933702
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,150,1000,357,26,331,181,0.5468277945619335,0.30487627717870946,0.320056273456458,0.9074963857554829,0.47241252302025777
wiener,sixsource,normalised,fair,truncH,1.0,200,500,414,25,389,92,0.2365038560411311,0.9999968901574946,0.7634899291464341,15.54821962014458,0.47831576635924467
gamma,sixsource,normalised,fair,truncH,1.0,200,500,414,25,389,92,0.2365038560411311,0.999999999,0.7634961424318767,15.822133578572794,0.5
