model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
wiener,matr,normalised,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.6514466756260895,0.2416485009505822,0.7004182322486592,0.4545454545454545
gamma,matr,normalised,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.45011097317356086,0.35964114596480795,1.0955455927503068,0.4545454545454545
cloglog hazard model,matr,normalised,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,normalised,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.2506701181752247,0.9545454545454546
wiener,matr,normalised,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.03951865823850339,0.29284222436894164,1.4862153182828985,0.728021978021978
gamma,matr,normalised,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.0387466319756215,0.2979786581669713,2.5051306122657575,0.728021978021978
cloglog hazard model,matr,normalised,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,normalised,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.2865328429221324,0.04217170260672581,0.15336767288813294,0.978021978021978
wiener,matr,normalised,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.30618176576476797,0.2590905803010733,0.7061053047570404,0.7423822714681441
gamma,matr,normalised,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.13703526444369796,0.38051184801130755,1.2947433560864885,0.7423822714681441
cloglog hazard model,matr,normalised,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,normalised,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.5065512125918189,0.0602475817584634,0.2061765345394254,0.9861495844875346
wiener,matr,normalised,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.5691529644006185,0.24231408019876727,0.6845282530414263,0.5590909090909091
gamma,matr,normalised,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.3277368627968221,0.39814680718448947,1.333924786826008,0.5590909090909091
cloglog hazard model,matr,normalised,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,normalised,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.6830087532651454,0.07184485971162244,0.22772359413051302,0.959090909090909
wiener,matr,normalised,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.9999999990000001,0.6829268279024391,14.152474249741307,0.5
gamma,matr,normalised,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.04696685187058916,0.2693002528842702,3.5270695001584307,0.8351648351648351
cloglog hazard model,matr,normalised,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.25336885741684917,0.04683041868269472,0.5845300311627237,0.9601648351648352
